Time [s],Channel 0,Channel 1
3.375681125,0,0
3.375686250,0,1
3.375691167,0,0
3.375691500,1,0
3.375701500,1,1
3.375706417,1,0
3.375711542,1,1
3.375716458,1,0
3.375721583,1,1
3.375726542,1,0
3.375731625,1,1
3.375736583,1,0
3.375736958,0,0
3.375741667,0,1
3.375746625,0,0
3.375747125,1,0
3.375751708,1,1
3.375756667,1,0
3.375761750,1,1
3.375766708,1,0
3.375771833,1,1
3.375776750,1,0
3.375776917,0,0
3.375781875,0,1
3.375786792,0,0
3.375787125,1,0
3.375791583,0,0
3.375796250,0,1
3.375802000,1,1
3.375822042,0,1
3.375827125,0,0
3.375832042,1,0
3.375836500,1,1
3.375841417,1,0
3.375846542,1,1
3.375851500,1,0
3.375856583,1,1
3.375861542,1,0
3.375861917,0,0
3.375866625,0,1
3.375871583,0,0
3.375872083,1,0
3.375876667,1,1
3.375881625,1,0
3.375886708,1,1
3.375891667,1,0
3.375892042,0,0
3.375896792,0,1
3.375901708,0,0
3.375902208,1,0
3.375906833,1,1
3.375911750,1,0
3.375911917,0,0
3.375916875,0,1
3.375921792,0,0
3.375922125,1,0
3.375931042,1,1
3.375936000,1,0
3.375941083,1,1
3.375946042,1,0
3.375951167,1,1
3.375956083,1,0
3.375961208,1,1
3.375966125,1,0
3.375971250,1,1
3.375976167,1,0
3.375981292,1,1
3.375986250,1,0
3.375991333,1,1
3.375996292,1,0
3.376001375,1,1
3.376006333,1,0
3.376006708,0,0
3.376011417,0,1
3.376016375,0,0
3.376016875,1,0
3.376026667,1,1
3.376031625,1,0
3.376036750,1,1
3.376041667,1,0
3.376046792,1,1
3.376051708,1,0
3.376056833,1,1
3.376061792,1,0
3.376066875,1,1
3.376071833,1,0
3.376076917,1,1
3.376081875,1,0
3.376086958,1,1
3.376091917,1,0
3.376097000,1,1
3.376101958,1,0
3.376102333,0,0
3.376107083,0,1
3.376112000,0,0
3.376112500,1,0
3.376122458,1,1
3.376127375,1,0
3.376127542,0,0
3.376132500,0,1
3.376137458,0,0
3.376142542,0,1
3.376147500,0,0
3.376152583,0,1
3.376157542,0,0
3.376162625,0,1
3.376167583,0,0
3.376172708,0,1
3.376177625,0,0
3.376182708,0,1
3.376187667,0,0
3.376192792,0,1
3.376197708,0,0
3.376198042,1,0
3.376202833,1,1
3.376207750,1,0
3.376213708,0,0
3.376218417,0,1
3.376224167,1,1
